date,id,program
11/16/2024,A223,Cyber Security
11/6/2024,B28,Health Science- Exercise Science
11/6/2024,B2A,Health Science- Exercise Science
11/16/2024,S239,Electrical Technology
11/16/2024,S007,Electrical Technology
11/16/2024,S359,Electrical Technology
11/16/2024,S262,Electrical Technology
11/16/2024,S156,Electrical Technology
11/16/2024,S085,Electrical Technology
11/16/2024,S084,Electrical Technology
11/16/2024,S325,Electrical Technology
11/16/2024,S277,Electrical Technology
11/16/2024,S178,Electrical Technology
11/16/2024,S259,Electrical Technology
11/16/2024,S316,Electrical Technology
11/16/2024,S096,Electrical Technology
11/16/2024,S045,Electrical Technology
11/16/2024,S269?,Electrical Technology
11/16/2024,S057,Electrical Technology
11/16/2024,S181,Electrical Technology
11/6/2024,C1C?,Electrical Technology
11/6/2024,A27,Electrical Technology
11/6/2024,C31,Electrical Technology
11/6/2024,B25,Electrical Technology
11/6/2024,C20,Electrical Technology
11/16/2024,S333,Electrical Technology
11/6/2024,A34,Electrical Technology
11/6/2024,A30,Electrical Technology
11/16/2024,S345,Electrical Technology
11/16/2024,S055,Electrical Technology
11/16/2024,S337,Electrical Technology
11/16/2024,S245,Electrical Technology
11/16/2024,S295,Health Science- Pre-Professional
11/16/2024,S067,Health Science- Pre-Professional
11/16/2024,S035,Health Science- Pre-Professional
11/16/2024,S304,Health Science- Pre-Professional
11/16/2024,S143,Health Science- Pre-Professional
11/16/2024,S034,Health Science- Pre-Professional
11/16/2024,S247,Health Science- Pre-Professional
11/16/2024,S306,Health Science- Pre-Professional
11/16/2024,S345,Health Science- Pre-Professional
11/16/2024,S298,Health Science- Pre-Professional
11/16/2024,S325,Health Science- Pre-Professional
11/16/2024,S192,Health Science- Pre-Professional
11/6/2024,C34,Health Science- Pre-Professional
11/6/2024,C15,Health Science- Pre-Professional
11/6/2024,C3C,Health Science- Pre-Professional
11/6/2024,C2D,Health Science- Pre-Professional
11/6/2024,B3B,Health Science- Pre-Professional
11/6/2024,A36,Health Science- Pre-Professional
11/6/2024,C33,Health Science- Pre-Professional
11/6/2024,C39,Health Science- Pre-Professional
11/6/2024,C3B,Health Science- Pre-Professional
11/6/2024,C1E,Health Science- Pre-Professional
11/6/2024,A0F,Health Science- Pre-Professional
11/6/2024,B0F,Health Science- Pre-Professional
11/6/2024,A3A,Health Science- Pre-Professional
11/6/2024,B2A,Health Science- Pre-Professional
11/6/2024,A28,Health Science- Pre-Professional
11/6/2024,B0C,Health Science- Pre-Professional
11/6/2024,C1A,Health Science- Pre-Professional
11/6/2024,B1A,Health Science- Pre-Professional
11/6/2024,C3D,Health Science- Pre-Professional
11/6/2024,B15,Health Science- Pre-Professional
11/6/2024,C08,Health Science- Pre-Professional
11/6/2024,B33,Health Science- Pre-Professional
11/6/2024,A37,Health Science- Pre-Professional
11/6/2024,B3D,Health Science- Pre-Professional
11/6/2024,C27,Health Science- Pre-Professional
11/6/2024,C21,Health Science- Pre-Professional
11/6/2024,B03,Health Science- Pre-Professional
11/6/2024,A01,Health Science- Pre-Professional
11/6/2024,B2A,Health Science- Pre-Professional
11/6/2024,C06,Health Science- Pre-Professional
11/6/2024,B39,Health Science- Pre-Professional
11/6/2024,A09,Health Science- Pre-Professional
11/6/2024,C09,Health Science- Pre-Professional
11/16/2024,S140,Health Science- Pre-Professional
11/16/2024,S128,Health Science- Pre-Professional
11/16/2024,S301,Health Science- Pre-Professional
11/16/2024,S080,Health Science- Pre-Professional
11/16/2024,S313,Health Science- Pre-Professional
11/16/2024,S287,Health Science- Pre-Professional
11/6/2024,A2D,Health Science- Pre-Professional
11/16/2024,S031,Health Science- Pre-Professional
11/16/2024,S013,Health Science- Pre-Professional
11/6/2024,B1B,Health Science- Pre-Professional
11/16/2024,S025,Health Science- Pre-Professional
11/16/2024,S322,Health Science- Pre-Professional
11/16/2024,S163,Health Science- Pre-Professional
11/16/2024,S215,Health Science- Pre-Professional
11/16/2024,S235,Health Science- Pre-Professional
11/16/2024,S167,Health Science- Pre-Professional
11/16/2024,S155,Health Science- Pre-Professional
11/16/2024,S127,Health Science- Pre-Professional
11/16/2024,S040,Health Science- Pre-Professional
11/16/2024,S330,Health Science- Pre-Professional
11/16/2024,S191,Health Science- Pre-Professional
11/16/2024,S283,Health Science- Pre-Professional
11/16/2024,S331,Health Science- Pre-Professional
11/16/2024,S130,Health Science- Pre-Professional
11/16/2024,S319,Health Science- Pre-Professional
11/16/2024,S016,Health Science- Pre-Professional
11/16/2024,S340,Health Science- Pre-Professional
11/16/2024,S108,Health Science- Pre-Professional
11/16/2024,S338,Health Science- Pre-Professional
11/16/2024,S201,Health Science- Pre-Professional
11/16/2024,S069,Health Science- Pre-Professional
11/16/2024,S081,Health Science- Pre-Professional
11/16/2024,S070,Health Science- Pre-Professional
11/16/2024,S333,Diesel Service Technology
11/6/2024,C20,Diesel Service Technology
11/16/2024,S048,Diesel Service Technology
11/16/2024,S042,Diesel Service Technology
11/16/2024,S030,Diesel Service Technology
11/16/2024,S394,Diesel Service Technology
11/6/2024,B19,Diesel Service Technology
11/6/2024,A1E,Diesel Service Technology
11/6/2024,C23,Diesel Service Technology
11/6/2024,A29,Diesel Service Technology
11/6/2024,B32,Diesel Service Technology
11/6/2024,C2E,Diesel Service Technology
11/6/2024,A2E,Diesel Service Technology
11/6/2024,A21,Diesel Service Technology
11/6/2024,C2F,Diesel Service Technology
11/6/2024,A2E,Diesel Service Technology
11/6/2024,B37,Diesel Service Technology
11/6/2024,C35,Diesel Service Technology
11/6/2024,A35,Diesel Service Technology
11/6/2024,B3A,Diesel Service Technology
11/6/2024,B3C,Diesel Service Technology
11/16/2024,S029,Diesel Service Technology
11/16/2024,S056,Diesel Service Technology
11/16/2024,S190,Diesel Service Technology
11/16/2024,S049,Diesel Service Technology
11/16/2024,S080,Diesel Service Technology
11/16/2024,S361,Diesel Service Technology
11/16/2024,S358,Diesel Service Technology
11/16/2024,S277,Diesel Service Technology
11/16/2024,S374,Diesel Service Technology
11/16/2024,S103,Diesel Service Technology
11/16/2024,S263,Diesel Service Technology
11/16/2024,S175,Diesel Service Technology
11/16/2024,S044,Diesel Service Technology
11/16/2024,S131,Diesel Service Technology
11/16/2024,S263,Diesel Service Technology
11/16/2024,S192,Diesel Service Technology
11/16/2024,S165,Diesel Service Technology
11/16/2024,S188,Diesel Service Technology
11/6/2024,A22,Precision Machine Metalworking Technology
11/6/2024,C38,Precision Machine Metalworking Technology
11/16/2024,S394,Precision Machine Metalworking Technology
11/16/2024,S325,Precision Machine Metalworking Technology
11/16/2024,S262,Precision Machine Metalworking Technology
11/16/2024,S193,Precision Machine Metalworking Technology
11/16/2024,S310,Precision Machine Metalworking Technology
11/16/2024,S061,Precision Machine Metalworking Technology
11/16/2024,S157,Precision Machine Metalworking Technology
11/16/2024,S093,Precision Machine Metalworking Technology
11/16/2024,S178,Precision Machine Metalworking Technology
11/16/2024,S28U,Precision Machine Metalworking Technology
11/16/2024,S094,Health Science- Pre-Professional
11/16/2024,S281,Health Science- Pre-Professional
11/16/2024,S364,Health Science- Pre-Professional
11/16/2024,S246,Health Science- Pre-Professional
11/16/2024,S141,Health Science- Pre-Professional
11/6/2024,C27,Health Science- Pre-Professional
11/16/2024,S288,Health Science- Pre-Professional
11/6/2024,C1C,Health Science- Pre-Professional
11/6/2024,B1B,Health Science- Pre-Professional
11/6/2024,B3B,Health Science- Pre-Professional
11/6/2024,C37,Health Science- Pre-Professional
11/6/2024,B41,Health Science- Pre-Professional
11/6/2024,C32,Welding Technology
11/6/2024,C31,Welding Technology
11/6/2024,A24,Welding Technology
11/6/2024,B40,Welding Technology
11/6/2024,B27,Welding Technology
11/6/2024,B31,Welding Technology
11/6/2024,A38,Welding Technology
11/6/2024,A1F,Welding Technology
11/6/2024,A22,Welding Technology
11/6/2024,A10,Welding Technology
11/6/2024,A2C,Welding Technology
11/6/2024,,Welding Technology
11/6/2024,A14,Culinary Arts
11/6/2024,C17,Culinary Arts
11/6/2024,B18,Culinary Arts
11/6/2024,A15,Culinary Arts
11/6/2024,C2B,Culinary Arts
11/6/2024,B24,Culinary Arts
11/6/2024,A38,Culinary Arts
11/6/2024,B3E,Culinary Arts
11/6/2024,A11,Culinary Arts
11/6/2024,A10,Culinary Arts
11/6/2024,B2C,Culinary Arts
11/6/2024,B33,Culinary Arts
